GAME-ID,DATASET,DATE,TEAM,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,OT5,Final_Score,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,Total_TO,BL,PTS,POSS,PACE,OEFF,DEFF,Num_Rest_Days,SF,SF2,C,SG2,SG1,OPENING SPREAD,OPENING TOTAL,CLOSING SPREAD,CLOSING TOTAL,MONEYLINE,FT_PCT,FG_PCT,3P_PCT,TS_PCT,PPG_AVG_L6G,PPG_AVG_L5G,PPG_AVG_L4G,PPG_AVG_L3G,PPG_AVG_L2G,PPG_LG,APG_AVG_L6G,APG_AVG_L5G,APG_AVG_L4G,APG_AVG_L3G,APG_AVG_L2G,APG_LG,TOT_AVG_L6G,TOT_AVG_L5G,TOT_AVG_L4G,TOT_AVG_L3G,TOT_AVG_L2G,TOT_LG,ST_AVG_L6G,ST_AVG_L5G,ST_AVG_L4G,ST_AVG_L3G,ST_AVG_L2G,ST_LG,BL_AVG_L6G,BL_AVG_L5G,BL_AVG_L4G,BL_AVG_L3G,BL_AVG_L2G,BL_LG,FG_PCT_L6G,FG_PCT_L5G,FG_PCT_L4G,FG_PCT_L3G,FG_PCT_L2G,FG_PCT_LG,TS_PCT_L6G,TS_PCT_L5G,TS_PCT_L4G,TS_PCT_L3G,TS_PCT_L2G,TS_PCT_LG,3PT_PCT_L6G,3PT_PCT_L5G,3PT_PCT_L4G,3PT_PCT_L3G,3PT_PCT_L2G,3PT_PCT_LG,FT_PCT_L6G,FT_PCT_L5G,FT_PCT_L4G,FT_PCT_L3G,FT_PCT_L2G,FT_PCT_LG,OEFF_L6G,OEFF_L5G,OEFF_L4G,OEFF_L3G,OEFF_L2G,OEFF_LG,DEFF_L6G,DEFF_L5G,DEFF_L4G,DEFF_L3G,DEFF_L2G,DEFF_LG,PACE_L6G,PACE_L5G,PACE_L4G,PACE_L3G,PACE_L2G,PACE_LG
21300001,NBA 2013-2014 Regular Season,2013-10-29,Orlando,R,18,26,20,23,,,,,,87,240,36,93,9,19,6,10,13,26,39,17,26,10,19,6,87,96.46660165484634,96.46660165484634,90.18665373046159,100.55293576844568,3+,Jason Maxiell,Maurice Harkless,Nikola Vucevic,Arron Afflalo,Jameer Nelson,11.0,187.0,12.5,189.0,715,0.6,0.3870967741935484,0.47368421052631576,0.446611909650924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21300001,NBA 2013-2014 Regular Season,2013-10-29,Indiana,H,23,17,29,28,,,,,,97,240,34,71,7,17,22,32,10,34,44,17,13,4,21,18,97,96.46660165484634,96.46660165484634,100.55293576844568,90.18665373046159,3+,Paul George,David West,Roy Hibbert,Lance Stephenson,George Hill,-11.0,187.0,-12.5,189.0,-1050,0.6875,0.4788732394366197,0.4117647058823529,0.5700517160319699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21300002,NBA 2013-2014 Regular Season,2013-10-29,Chicago,R,15,18,25,37,,,,,,95,240,35,83,7,26,18,23,11,30,41,23,27,11,19,4,95,98.58413043478261,98.58413043478261,96.36439412816685,108.53673864961951,3+,Luol Deng,Carlos Boozer,Joakim Noah,Jimmy Butler,Derrick Rose,5.5,187.5,5.0,188.5,189,0.782608695652174,0.42168674698795183,0.2692307692307692,0.510094501718213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21300002,NBA 2013-2014 Regular Season,2013-10-29,Miami,H,17,37,24,29,,,,,,107,240,37,72,11,20,22,29,5,35,40,26,21,10,20,7,107,98.58413043478261,98.58413043478261,108.53673864961951,96.36439412816685,3+,LeBron James,Udonis Haslem,Chris Bosh,Dwyane Wade,Mario Chalmers,-5.5,187.5,-5.0,188.5,-225,0.7586206896551724,0.5138888888888888,0.55,0.6311939594148183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21300003,NBA 2013-2014 Regular Season,2013-10-29,LA Clippers,R,30,27,22,24,,,,,,103,240,41,83,8,21,13,23,10,30,40,27,21,11,16,4,103,100.36130681818182,100.36130681818182,102.62919372562429,115.5823929337128,3+,Jared Dudley,Blake Griffin,DeAndre Jordan,JJ Redick,Chris Paul,-8.0,197.0,-10.0,202.5,-575,0.5652173913043478,0.4939759036144578,0.38095238095238093,0.5530498281786941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21300003,NBA 2013-2014 Regular Season,2013-10-29,LA Lakers,H,28,27,20,41,,,,,,116,240,42,93,14,29,18,28,18,34,52,23,23,8,19,6,116,100.36130681818182,100.36130681818182,115.5823929337128,102.62919372562429,3+,Nick Young,Shawne Williams,Pau Gasol,Steve Blake,Steve Nash,8.0,197.0,10.0,202.5,435,0.6428571428571429,0.45161290322580644,0.4827586206896552,0.5507026205848842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21300004,NBA 2013-2014 Regular Season,2013-10-30,Brooklyn,R,26,22,22,24,,,,,,94,240,33,82,9,24,19,24,9,28,37,24,27,8,15,8,94,93.81276053215076,93.81276053215076,100.1995884853906,104.46340076136468,3+,Paul Pierce,Kevin Garnett,Brook Lopez,Joe Johnson,Deron Williams,-3.0,196.0,-3.0,194.0,-150,0.7916666666666666,0.4024390243902439,0.375,0.5077787381158168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21300004,NBA 2013-2014 Regular Season,2013-10-30,Cleveland,H,27,22,30,19,,,,,,98,240,35,84,5,15,23,34,16,32,48,21,20,7,14,3,98,93.81276053215076,93.81276053215076,104.46340076136468,100.1995884853906,3+,Earl Clark,Tristan Thompson,Anderson Varejao,Dion Waiters,Kyrie Irving,3.0,196.0,3.0,194.0,130,0.6764705882352942,0.4166666666666667,0.3333333333333333,0.49514955537590943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21300005,NBA 2013-2014 Regular Season,2013-10-30,Miami,R,14,35,45,16,,,,,,110,240,42,85,16,40,10,13,7,24,31,30,25,7,19,0,110,99.32214743589742,99.32214743589742,110.75072664029346,114.7780257908496,B2B,LeBron James,Udonis Haslem,Chris Bosh,Roger Mason Jr.,Mario Chalmers,-10.0,196.5,-9.5,195.5,-625,0.7692307692307693,0.49411764705882355,0.4,0.6062610229276896,,,,,,107.0,,,,,,26.0,,,,,,40.0,,,,,,10.0,,,,,,7.0,,,,,,0.5138888888888888,,,,,,0.6311939594148183,,,,,,0.55,,,,,,0.7586206896551724,,,,,,108.53673864961951,,,,,,96.36439412816685,,,,,,98.58413043478261
21300005,NBA 2013-2014 Regular Season,2013-10-30,Philadelphia,H,33,18,34,29,,,,,,114,240,43,80,8,21,20,24,8,32,40,24,21,16,18,1,114,99.32214743589742,99.32214743589742,114.7780257908496,110.75072664029346,3+,Evan Turner,Thaddeus Young,Spencer Hawes,James Anderson,Michael Carter-Williams,10.0,196.5,9.5,195.5,465,0.8333333333333334,0.5375,0.38095238095238093,0.6294169611307421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
