GAME-ID,DATASET,DATE,TEAM,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,OT5,Final_Score,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,Total_TO,BL,PTS,POSS,PACE,OEFF,DEFF,Num_Rest_Days,SF,SF2,C,SG2,SG1,OPENING SPREAD,OPENING TOTAL,CLOSING SPREAD,CLOSING TOTAL,MONEYLINE,FT_PCT,FG_PCT,3P_PCT,TS_PCT,PPG_AVG_L6G,PPG_AVG_L5G,PPG_AVG_L4G,PPG_AVG_L3G,PPG_AVG_L2G,PPG_LG,APG_AVG_L6G,APG_AVG_L5G,APG_AVG_L4G,APG_AVG_L3G,APG_AVG_L2G,APG_LG,TOT_AVG_L6G,TOT_AVG_L5G,TOT_AVG_L4G,TOT_AVG_L3G,TOT_AVG_L2G,TOT_LG,ST_AVG_L6G,ST_AVG_L5G,ST_AVG_L4G,ST_AVG_L3G,ST_AVG_L2G,ST_LG,BL_AVG_L6G,BL_AVG_L5G,BL_AVG_L4G,BL_AVG_L3G,BL_AVG_L2G,BL_LG,FG_PCT_L6G,FG_PCT_L5G,FG_PCT_L4G,FG_PCT_L3G,FG_PCT_L2G,FG_PCT_LG,TS_PCT_L6G,TS_PCT_L5G,TS_PCT_L4G,TS_PCT_L3G,TS_PCT_L2G,TS_PCT_LG,3PT_PCT_L6G,3PT_PCT_L5G,3PT_PCT_L4G,3PT_PCT_L3G,3PT_PCT_L2G,3PT_PCT_LG,FT_PCT_L6G,FT_PCT_L5G,FT_PCT_L4G,FT_PCT_L3G,FT_PCT_L2G,FT_PCT_LG,OEFF_L6G,OEFF_L5G,OEFF_L4G,OEFF_L3G,OEFF_L2G,OEFF_LG,DEFF_L6G,DEFF_L5G,DEFF_L4G,DEFF_L3G,DEFF_L2G,DEFF_LG,PACE_L6G,PACE_L5G,PACE_L4G,PACE_L3G,PACE_L2G,PACE_LG
20900001,NBA 2009-2010 Regular Season,2009-10-27,Boston,R,21,30,21,23,,,,,,95,240,32,72,9,19,22,26,6,32,38,20,27,9,16,8,95,90.12407894736843,90.12407894736843,105.41023121632018,98.75274292897365,3+,Paul Pierce,Kevin Garnett,Kendrick Perkins,Ray Allen,Rajon Rondo,4.5,187.5,5.0,183.5,170.0,0.8461538461538461,0.4444444444444444,0.47368421052631576,0.5692713326941515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900001,NBA 2009-2010 Regular Season,2009-10-27,Cleveland,H,28,17,20,24,,,,,,89,240,29,70,6,17,25,32,6,26,32,17,22,7,14,9,89,90.12407894736843,90.12407894736843,98.75274292897365,105.41023121632018,3+,LeBron James,Anderson Varejao,Shaquille O'Neal,Anthony Parker,Mo Williams,-4.5,187.5,-5.0,183.5,-200.0,0.78125,0.4142857142857143,0.35294117647058826,0.5292578496669839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900002,NBA 2009-2010 Regular Season,2009-10-27,Washington,R,21,35,21,25,,,,,,102,240,39,84,4,13,20,24,9,37,46,19,29,6,10,4,102,90.54333333333334,90.54333333333334,112.65324154180318,100.50436255200088,3+,Caron Butler,Fabricio Oberto,Brendan Haywood,Mike Miller,Gilbert Arenas,8.5,205.0,8.5,210.0,320.0,0.8333333333333334,0.4642857142857143,0.3076923076923077,0.5393401015228426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900002,NBA 2009-2010 Regular Season,2009-10-27,Dallas,H,21,29,24,17,,,,,,91,240,30,76,4,18,27,34,11,31,42,16,20,6,10,9,91,90.54333333333334,90.54333333333334,100.50436255200088,112.65324154180318,3+,Shawn Marion,Dirk Nowitzki,Erick Dampier,Quinton Ross,Jason Kidd,-8.5,205.0,-8.5,210.0,-400.0,0.7941176470588235,0.39473684210526316,0.2222222222222222,0.5002198768689533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900003,NBA 2009-2010 Regular Season,2009-10-27,Houston,R,23,18,15,31,,,,,,87,240,30,81,5,18,22,29,10,23,33,18,26,12,16,2,87,96.56077551020408,96.56077551020408,90.09869643270031,99.4192512360831,3+,Shane Battier,Luis Scola,Chuck Hayes,Trevor Ariza,Aaron Brooks,10.0,187.5,9.0,188.0,400.0,0.7586206896551724,0.37037037037037035,0.2777777777777778,0.46395051194539244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900003,NBA 2009-2010 Regular Season,2009-10-27,Portland,H,23,31,21,21,,,,,,96,240,33,77,10,21,20,22,12,39,51,23,27,9,26,12,96,96.56077551020408,96.56077551020408,99.4192512360831,90.09869643270031,3+,Martell Webster,LaMarcus Aldridge,Greg Oden,Brandon Roy,Steve Blake,-10.0,187.5,-9.0,188.0,-500.0,0.9090909090909091,0.42857142857142855,0.47619047619047616,0.5537609598523303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900004,NBA 2009-2010 Regular Season,2009-10-27,LA Clippers,R,22,27,26,17,,,,,,92,240,39,87,3,15,11,16,15,36,51,27,27,10,20,4,92,97.45981132075472,97.45981132075472,94.39788437227149,101.58033209624867,3+,Al Thornton,Marcus Camby,Chris Kaman,Eric Gordon,Baron Davis,10.0,208.0,12.0,202.0,625.0,0.6875,0.4482758620689655,0.2,0.4891535516801361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900004,NBA 2009-2010 Regular Season,2009-10-27,LA Lakers,H,32,27,17,23,,,,,,99,240,35,85,4,17,25,37,17,30,47,17,15,13,16,4,99,97.45981132075472,97.45981132075472,101.58033209624867,94.39788437227149,3+,Metta World Peace,Lamar Odom,Andrew Bynum,Kobe Bryant,Derek Fisher,-10.0,208.0,-12.0,202.0,-850.0,0.6756756756756757,0.4117647058823529,0.23529411764705882,0.4887440758293839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900005,NBA 2009-2010 Regular Season,2009-10-28,Indiana,R,32,33,29,15,,,,,,109,240,39,73,10,18,21,25,6,34,40,23,26,1,25,4,109,101.31463203463203,101.31463203463203,107.58564465075578,118.44291154211646,3+,Danny Granger,Troy Murphy,Roy Hibbert,Brandon Rush,T.J. Ford,6.5,210.0,7.5,205.5,300.0,0.84,0.5342465753424658,0.5555555555555556,0.6488095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900005,NBA 2009-2010 Regular Season,2009-10-28,Atlanta,H,29,37,29,25,,,,,,120,240,46,87,7,12,21,29,8,27,35,30,25,16,11,6,120,101.31463203463203,101.31463203463203,118.44291154211646,107.58564465075578,3+,Marvin Williams,Josh Smith,Al Horford,Joe Johnson,Mike Bibby,-6.5,210.0,-7.5,205.5,-360.0,0.7241379310344828,0.5287356321839081,0.5833333333333334,0.6014434643143545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
