GAME-ID,DATASET,DATE,TEAM,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,OT5,Final_Score,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,Total_TO,BL,PTS,POSS,PACE,OEFF,DEFF,Num_Rest_Days,SF,SF2,C,SG2,SG1,OPENING SPREAD,OPENING TOTAL,CLOSING SPREAD,CLOSING TOTAL,MONEYLINE,FT_PCT,FG_PCT,3P_PCT,TS_PCT,PPG_AVG_L6G,PPG_AVG_L5G,PPG_AVG_L4G,PPG_AVG_L3G,PPG_AVG_L2G,PPG_LG,APG_AVG_L6G,APG_AVG_L5G,APG_AVG_L4G,APG_AVG_L3G,APG_AVG_L2G,APG_LG,TOT_AVG_L6G,TOT_AVG_L5G,TOT_AVG_L4G,TOT_AVG_L3G,TOT_AVG_L2G,TOT_LG,ST_AVG_L6G,ST_AVG_L5G,ST_AVG_L4G,ST_AVG_L3G,ST_AVG_L2G,ST_LG,BL_AVG_L6G,BL_AVG_L5G,BL_AVG_L4G,BL_AVG_L3G,BL_AVG_L2G,BL_LG,FG_PCT_L6G,FG_PCT_L5G,FG_PCT_L4G,FG_PCT_L3G,FG_PCT_L2G,FG_PCT_LG,TS_PCT_L6G,TS_PCT_L5G,TS_PCT_L4G,TS_PCT_L3G,TS_PCT_L2G,TS_PCT_LG,3PT_PCT_L6G,3PT_PCT_L5G,3PT_PCT_L4G,3PT_PCT_L3G,3PT_PCT_L2G,3PT_PCT_LG,FT_PCT_L6G,FT_PCT_L5G,FT_PCT_L4G,FT_PCT_L3G,FT_PCT_L2G,FT_PCT_LG,OEFF_L6G,OEFF_L5G,OEFF_L4G,OEFF_L3G,OEFF_L2G,OEFF_LG,DEFF_L6G,DEFF_L5G,DEFF_L4G,DEFF_L3G,DEFF_L2G,DEFF_LG,PACE_L6G,PACE_L5G,PACE_L4G,PACE_L3G,PACE_L2G,PACE_LG
21100001,NBA 2011-2012 Regular Season,2011-12-25,Boston,R,23,29,35,17,,,,,,104,240,39,76,2,5,24,31,13,28,41,28,28,7,19,5,104,93.71513888888889,93.71513888888889,110.97459944364498,113.10872635602276,3+,Kevin Garnett,Sasha Pavlovic,Jermaine O'Neal,Ray Allen,Rajon Rondo,0.0,202.0,5.0,189.0,170.0,0.7741935483870968,0.5131578947368421,0.4,0.5800981704596162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21100001,NBA 2011-2012 Regular Season,2011-12-25,New York,H,34,28,17,27,,,,,,106,240,35,74,9,20,27,34,8,23,31,17,25,9,16,11,106,93.71513888888889,93.71513888888889,113.10872635602276,110.97459944364498,3+,Carmelo Anthony,Amar'e Stoudemire,Tyson Chandler,Toney Douglas,Landry Fields,0.0,202.0,-5.0,189.0,-200.0,0.7941176470588235,0.47297297297297297,0.45,0.5957733812949639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21100002,NBA 2011-2012 Regular Season,2011-12-25,Miami,R,32,30,35,8,,,,,,105,240,38,78,4,7,25,36,15,36,51,18,28,9,23,6,105,99.79172248803829,99.79172248803829,105.21914782319347,94.1961894798113,3+,LeBron James,Chris Bosh,Joel Anthony,Dwyane Wade,Mario Chalmers,-1.0,193.5,-5.0,190.0,-200.0,0.6944444444444444,0.48717948717948717,0.5714285714285714,0.559462915601023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21100002,NBA 2011-2012 Regular Season,2011-12-25,Dallas,H,17,24,24,29,,,,,,94,240,31,82,9,28,23,30,8,23,31,23,29,10,17,0,94,99.79172248803829,99.79172248803829,94.1961894798113,105.21914782319347,3+,Shawn Marion,Dirk Nowitzki,Brendan Haywood,Vince Carter,Jason Kidd,1.0,193.5,5.0,190.0,170.0,0.7666666666666667,0.3780487804878049,0.32142857142857145,0.4936974789915966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21100003,NBA 2011-2012 Regular Season,2011-12-25,Chicago,R,22,34,12,20,,,,,,88,240,36,89,7,15,9,14,16,25,41,21,21,14,14,4,88,87.99685076380727,87.99685076380727,100.00357880556564,98.86717450095695,3+,Luol Deng,Carlos Boozer,Joakim Noah,Richard Hamilton,Derrick Rose,3.0,187.5,-5.5,183.0,-230.0,0.6428571428571429,0.4044943820224719,0.4666666666666667,0.4623791509037411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21100003,NBA 2011-2012 Regular Season,2011-12-25,LA Lakers,H,20,29,20,18,,,,,,87,240,36,76,4,16,11,20,12,30,42,22,20,6,17,8,87,87.99685076380727,87.99685076380727,98.86717450095695,100.00357880556564,3+,Devin Ebanks,Josh McRoberts,Pau Gasol,Kobe Bryant,Derek Fisher,-3.0,187.5,5.5,183.0,190.0,0.55,0.47368421052631576,0.25,0.5129716981132075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21100004,NBA 2011-2012 Regular Season,2011-12-25,Orlando,R,22,19,22,26,,,,,,89,240,30,81,8,28,21,26,14,31,45,18,25,7,18,4,89,93.01520000000001,93.01520000000001,95.68328617258254,104.28403099708434,3+,Hedo Turkoglu,Ryan Anderson,Dwight Howard,Jason Richardson,Jameer Nelson,6.5,201.5,7.5,194.0,290.0,0.8076923076923077,0.37037037037037035,0.2857142857142857,0.48139333621808744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21100004,NBA 2011-2012 Regular Season,2011-12-25,Oklahoma City,H,27,28,26,16,,,,,,97,240,34,72,10,19,19,26,7,36,43,21,22,8,17,5,97,93.01520000000001,93.01520000000001,104.28403099708434,95.68328617258254,3+,Kevin Durant,Serge Ibaka,Kendrick Perkins,Thabo Sefolosha,Russell Westbrook,-6.5,201.5,-7.5,194.0,-350.0,0.7307692307692307,0.4722222222222222,0.5263157894736842,0.5812559923298178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21100005,NBA 2011-2012 Regular Season,2011-12-25,LA Clippers,R,24,17,34,30,,,,,,105,240,37,81,8,23,23,38,13,30,43,22,19,9,10,8,105,90.26946808510638,90.26946808510638,116.31839893086068,95.27030769575255,3+,Caron Butler,Blake Griffin,DeAndre Jordan,Chauncey Billups,Chris Paul,2.0,215.5,-5.0,209.0,-220.0,0.6052631578947368,0.4567901234567901,0.34782608695652173,0.5372492836676218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21100005,NBA 2011-2012 Regular Season,2011-12-25,Golden State,H,20,23,25,18,,,,,,86,240,32,82,5,21,17,24,17,31,48,17,32,4,16,8,86,90.26946808510638,90.26946808510638,95.27030769575255,116.31839893086068,3+,Dorell Wright,David Lee,Andris Biedrins,Monta Ellis,Stephen Curry,-2.0,215.5,5.0,209.0,180.0,0.7083333333333334,0.3902439024390244,0.23809523809523808,0.4645635263612792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
