GAME-ID,DATASET,DATE,TEAM,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,OT5,Final_Score,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,Total_TO,BL,PTS,POSS,PACE,OEFF,DEFF,Num_Rest_Days,SF,SF2,C,SG2,SG1,OPENING SPREAD,OPENING TOTAL,CLOSING SPREAD,CLOSING TOTAL,MONEYLINE,FT_PCT,FG_PCT,3P_PCT,TS_PCT,PPG_AVG_L6G,PPG_AVG_L5G,PPG_AVG_L4G,PPG_AVG_L3G,PPG_AVG_L2G,PPG_LG,APG_AVG_L6G,APG_AVG_L5G,APG_AVG_L4G,APG_AVG_L3G,APG_AVG_L2G,APG_LG,TOT_AVG_L6G,TOT_AVG_L5G,TOT_AVG_L4G,TOT_AVG_L3G,TOT_AVG_L2G,TOT_LG,ST_AVG_L6G,ST_AVG_L5G,ST_AVG_L4G,ST_AVG_L3G,ST_AVG_L2G,ST_LG,BL_AVG_L6G,BL_AVG_L5G,BL_AVG_L4G,BL_AVG_L3G,BL_AVG_L2G,BL_LG,FG_PCT_L6G,FG_PCT_L5G,FG_PCT_L4G,FG_PCT_L3G,FG_PCT_L2G,FG_PCT_LG,TS_PCT_L6G,TS_PCT_L5G,TS_PCT_L4G,TS_PCT_L3G,TS_PCT_L2G,TS_PCT_LG,3PT_PCT_L6G,3PT_PCT_L5G,3PT_PCT_L4G,3PT_PCT_L3G,3PT_PCT_L2G,3PT_PCT_LG,FT_PCT_L6G,FT_PCT_L5G,FT_PCT_L4G,FT_PCT_L3G,FT_PCT_L2G,FT_PCT_LG,OEFF_L6G,OEFF_L5G,OEFF_L4G,OEFF_L3G,OEFF_L2G,OEFF_LG,DEFF_L6G,DEFF_L5G,DEFF_L4G,DEFF_L3G,DEFF_L2G,DEFF_LG,PACE_L6G,PACE_L5G,PACE_L4G,PACE_L3G,PACE_L2G,PACE_LG
21200001,NBA 2012-2013 Regular Season,2012-10-30,Washington,R,24,15,23,22,,,,,,84,240,32,90,8,32,12,20,18,21,39,26,19,11,13,10,84,88.93897435897436,88.93897435897436,94.44678287042109,105.69044749785216,3+,Trevor Ariza,Trevor Booker,Emeka Okafor,Bradley Beal,AJ Price,5.5,191.0,6.0,190.5,210,0.6,0.35555555555555557,0.25,0.4251012145748988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21200001,NBA 2012-2013 Regular Season,2012-10-30,Cleveland,H,31,19,24,20,,,,,,94,240,36,79,7,20,15,22,18,36,54,22,21,7,21,5,94,88.93897435897436,88.93897435897436,105.69044749785216,94.44678287042109,3+,Alonzo Gee,Tristan Thompson,Anderson Varejao,Dion Waiters,Kyrie Irving,-5.5,191.0,-6.0,190.5,-250,0.6818181818181818,0.45569620253164556,0.35,0.5299954894000902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21200002,NBA 2012-2013 Regular Season,2012-10-30,Boston,R,25,29,22,31,,,,,,107,240,39,75,6,13,23,28,7,34,41,24,23,4,16,2,107,94.98287449392714,94.98287449392714,112.65188653228344,126.33856433527116,3+,Paul Pierce,Brandon Bass,Kevin Garnett,Courtney Lee,Rajon Rondo,8.0,184.0,6.5,187.5,240,0.8214285714285714,0.52,0.46153846153846156,0.6126889601465874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21200002,NBA 2012-2013 Regular Season,2012-10-30,Miami,H,31,31,31,27,,,,,,120,240,43,79,8,16,26,32,5,31,36,25,20,8,8,5,120,94.98287449392714,94.98287449392714,126.33856433527116,112.65188653228344,3+,LeBron James,Shane Battier,Chris Bosh,Dwyane Wade,Mario Chalmers,-8.0,184.0,-6.5,187.5,-280,0.8125,0.5443037974683544,0.5,0.6446067898581865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21200003,NBA 2012-2013 Regular Season,2012-10-30,Dallas,R,25,23,26,25,,,,,,99,240,40,85,5,15,14,18,9,31,40,22,25,9,12,5,99,91.57932065217392,91.57932065217392,108.10300763860266,99.36741106174588,3+,Shawn Marion,Elton Brand,Brandan Wright,O.J. Mayo,Darren Collison,8.5,187.0,8.5,186.5,400,0.7777777777777778,0.47058823529411764,0.3333333333333333,0.5327163151097718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21200003,NBA 2012-2013 Regular Season,2012-10-30,LA Lakers,H,29,17,20,25,,,,,,91,240,38,77,3,13,12,31,15,31,46,24,21,6,14,5,91,91.57932065217392,91.57932065217392,99.36741106174588,108.10300763860266,3+,Metta World Peace,Pau Gasol,Dwight Howard,Kobe Bryant,Steve Nash,-8.5,187.0,-8.5,186.5,-500,0.3870967741935484,0.4935064935064935,0.23076923076923078,0.5019858781994704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21200004,NBA 2012-2013 Regular Season,2012-10-31,Indiana,R,27,21,15,27,,,,,,90,240,37,78,5,11,11,16,9,37,46,22,16,3,19,10,90,91.56528846153846,91.56528846153846,98.29052200038015,96.10628817814947,3+,Gerald Green,David West,Roy Hibbert,Paul George,George Hill,-3.5,187.0,-2.0,190.0,-125,0.6875,0.47435897435897434,0.45454545454545453,0.5291627469426152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21200004,NBA 2012-2013 Regular Season,2012-10-31,Toronto,H,25,23,23,17,,,,,,88,240,33,91,6,17,16,19,15,27,42,18,18,12,10,8,88,91.56528846153846,91.56528846153846,96.10628817814947,98.29052200038015,3+,Landry Fields,Andrea Bargnani,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,3.5,187.0,2.0,190.0,105,0.8421052631578947,0.3626373626373626,0.35294117647058826,0.4428341384863124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21200005,NBA 2012-2013 Regular Season,2012-10-31,Denver,R,22,16,14,23,,,,,,75,240,33,88,4,18,5,11,16,38,54,19,22,9,22,5,75,94.3697213500785,94.3697213500785,79.47464390805644,89.01160117702321,3+,Jordan Hamilton,Kenneth Faried,Kosta Koufos,Andre Iguodala,Ty Lawson,1.5,201.0,-2.0,197.5,-130,0.45454545454545453,0.375,0.2222222222222222,0.4039207238259371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21200005,NBA 2012-2013 Regular Season,2012-10-31,Philadelphia,H,25,21,19,19,,,,,,84,240,30,85,7,25,17,21,14,33,47,18,14,13,16,11,84,94.3697213500785,94.3697213500785,89.01160117702321,79.47464390805644,3+,Evan Turner,Thaddeus Young,Lavoy Allen,Jason Richardson,Jrue Holiday,-1.5,201.0,2.0,197.5,110,0.8095238095238095,0.35294117647058826,0.28,0.4456706281833617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
