GAME-ID,DATASET,DATE,TEAM,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,OT5,Final_Score,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,Total_TO,BL,PTS,POSS,PACE,OEFF,DEFF,Num_Rest_Days,SF,SF2,C,SG2,SG1,OPENING SPREAD,OPENING TOTAL,CLOSING SPREAD,CLOSING TOTAL,MONEYLINE,FT_PCT,FG_PCT,3P_PCT,TS_PCT,PPG_AVG_L6G,PPG_AVG_L5G,PPG_AVG_L4G,PPG_AVG_L3G,PPG_AVG_L2G,PPG_LG,APG_AVG_L6G,APG_AVG_L5G,APG_AVG_L4G,APG_AVG_L3G,APG_AVG_L2G,APG_LG,TOT_AVG_L6G,TOT_AVG_L5G,TOT_AVG_L4G,TOT_AVG_L3G,TOT_AVG_L2G,TOT_LG,ST_AVG_L6G,ST_AVG_L5G,ST_AVG_L4G,ST_AVG_L3G,ST_AVG_L2G,ST_LG,BL_AVG_L6G,BL_AVG_L5G,BL_AVG_L4G,BL_AVG_L3G,BL_AVG_L2G,BL_LG,FG_PCT_L6G,FG_PCT_L5G,FG_PCT_L4G,FG_PCT_L3G,FG_PCT_L2G,FG_PCT_LG,TS_PCT_L6G,TS_PCT_L5G,TS_PCT_L4G,TS_PCT_L3G,TS_PCT_L2G,TS_PCT_LG,3PT_PCT_L6G,3PT_PCT_L5G,3PT_PCT_L4G,3PT_PCT_L3G,3PT_PCT_L2G,3PT_PCT_LG,FT_PCT_L6G,FT_PCT_L5G,FT_PCT_L4G,FT_PCT_L3G,FT_PCT_L2G,FT_PCT_LG,OEFF_L6G,OEFF_L5G,OEFF_L4G,OEFF_L3G,OEFF_L2G,OEFF_LG,DEFF_L6G,DEFF_L5G,DEFF_L4G,DEFF_L3G,DEFF_L2G,DEFF_LG,PACE_L6G,PACE_L5G,PACE_L4G,PACE_L3G,PACE_L2G,PACE_LG
21800001,NBA 2018-2019 Regular Season,2018-10-16,Philadelphia,R,21,21,24,21,,,,,,87,240,34,87,5,26,14,23,6,41,47,18,20,8,16,5,87,104.76569503273006,104.76569503273006,83.04245008141277,100.22364664998092,3+,Dario Saric,Robert Covington,Joel Embiid,Markelle Fultz,Ben Simmons,5.0,208.5,4.5,211.5,170,0.6086956521739131,0.39080459770114945,0.19230769230769232,0.4478995057660626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21800001,NBA 2018-2019 Regular Season,2018-10-16,Boston,H,21,26,30,28,,,,,,105,240,42,97,11,37,10,14,12,43,55,21,20,7,15,5,105,104.76569503273006,104.76569503273006,100.22364664998092,83.04245008141277,3+,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,-5.0,208.5,-4.5,211.5,-200,0.7142857142857143,0.4329896907216495,0.2972972972972973,0.5089181853431562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21800002,NBA 2018-2019 Regular Season,2018-10-16,Oklahoma City,R,23,24,32,21,,,,,,100,240,33,91,10,37,24,37,16,29,45,21,21,12,15,6,100,102.81080282227306,102.81080282227306,97.26604330954206,105.04732677430542,3+,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Dennis Schroder,11.5,223.5,12.0,220.5,711,0.6486486486486487,0.3626373626373626,0.2702702702702703,0.46607009694258017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21800002,NBA 2018-2019 Regular Season,2018-10-16,Golden State,H,31,26,26,25,,,,,,108,240,42,95,7,26,17,18,17,41,58,28,29,7,21,7,108,102.81080282227306,102.81080282227306,105.04732677430542,97.26604330954206,3+,Kevin Durant,Draymond Green,Damian Jones,Klay Thompson,Stephen Curry,-11.5,223.5,-12.0,220.5,-1100,0.9444444444444444,0.4421052631578947,0.2692307692307692,0.5246793626117373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21800003,NBA 2018-2019 Regular Season,2018-10-17,Milwaukee,R,36,31,26,20,,,,,,113,240,42,85,14,34,15,20,11,46,57,26,25,5,21,4,113,102.55018181818183,102.55018181818183,110.18995578218025,109.21482343012555,3+,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,-1.5,217.0,-3.0,222.0,-165,0.75,0.49411764705882355,0.4117647058823529,0.6023454157782516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21800003,NBA 2018-2019 Regular Season,2018-10-17,Charlotte,H,23,31,29,29,,,,,,112,240,41,92,16,38,14,22,9,32,41,21,19,8,11,9,112,102.55018181818183,102.55018181818183,109.21482343012555,110.18995578218025,3+,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,1.5,217.0,3.0,222.0,144,0.6363636363636364,0.44565217391304346,0.42105263157894735,0.5507474429583005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21800004,NBA 2018-2019 Regular Season,2018-10-17,Brooklyn,R,29,22,25,24,,,,,,100,240,40,82,5,27,15,22,5,34,39,28,23,9,19,5,100,102.49330518018019,102.49330518018019,97.56734825187164,100.4943686994278,3+,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,4.5,212.0,6.0,213.0,211,0.6818181818181818,0.4878048780487805,0.18518518518518517,0.5453752181500873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21800004,NBA 2018-2019 Regular Season,2018-10-17,Detroit,H,24,27,32,20,,,,,,103,240,39,92,6,24,19,22,14,32,46,21,20,5,17,5,103,102.49330518018019,102.49330518018019,100.4943686994278,97.56734825187164,3+,Luke Kennard,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,-4.5,212.0,-6.0,213.0,-255,0.8636363636363636,0.42391304347826086,0.25,0.5064909520062942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21800005,NBA 2018-2019 Regular Season,2018-10-17,Memphis,R,16,23,19,25,,,,,,83,240,25,84,10,29,23,28,7,21,28,16,18,11,10,3,83,95.00343137254902,95.003431372549,87.36526544448859,116.83788511250884,3+,Chandler Parsons,JaMychal Green,Marc Gasol,Garrett Temple,Mike Conley,7.0,209.0,7.5,204.5,263,0.8214285714285714,0.2976190476190476,0.3448275862068966,0.43085548172757476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21800005,NBA 2018-2019 Regular Season,2018-10-17,Indiana,H,27,29,20,35,,,,,,111,240,47,83,10,26,7,13,13,44,57,29,24,2,20,7,111,95.00343137254902,95.003431372549,116.83788511250884,87.36526544448859,3+,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,-7.0,209.0,-7.5,204.5,-325,0.5384615384615384,0.5662650602409639,0.38461538461538464,0.6255635707844905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
