GAME-ID,DATASET,DATE,TEAM,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,OT5,Final_Score,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,Total_TO,BL,PTS,POSS,PACE,OEFF,DEFF,Num_Rest_Days,SF,SF2,C,SG2,SG1,OPENING SPREAD,OPENING TOTAL,CLOSING SPREAD,CLOSING TOTAL,MONEYLINE,FT_PCT,FG_PCT,3P_PCT,TS_PCT,PPG_AVG_L6G,PPG_AVG_L5G,PPG_AVG_L4G,PPG_AVG_L3G,PPG_AVG_L2G,PPG_LG,APG_AVG_L6G,APG_AVG_L5G,APG_AVG_L4G,APG_AVG_L3G,APG_AVG_L2G,APG_LG,TOT_AVG_L6G,TOT_AVG_L5G,TOT_AVG_L4G,TOT_AVG_L3G,TOT_AVG_L2G,TOT_LG,ST_AVG_L6G,ST_AVG_L5G,ST_AVG_L4G,ST_AVG_L3G,ST_AVG_L2G,ST_LG,BL_AVG_L6G,BL_AVG_L5G,BL_AVG_L4G,BL_AVG_L3G,BL_AVG_L2G,BL_LG,FG_PCT_L6G,FG_PCT_L5G,FG_PCT_L4G,FG_PCT_L3G,FG_PCT_L2G,FG_PCT_LG,TS_PCT_L6G,TS_PCT_L5G,TS_PCT_L4G,TS_PCT_L3G,TS_PCT_L2G,TS_PCT_LG,3PT_PCT_L6G,3PT_PCT_L5G,3PT_PCT_L4G,3PT_PCT_L3G,3PT_PCT_L2G,3PT_PCT_LG,FT_PCT_L6G,FT_PCT_L5G,FT_PCT_L4G,FT_PCT_L3G,FT_PCT_L2G,FT_PCT_LG,OEFF_L6G,OEFF_L5G,OEFF_L4G,OEFF_L3G,OEFF_L2G,OEFF_LG,DEFF_L6G,DEFF_L5G,DEFF_L4G,DEFF_L3G,DEFF_L2G,DEFF_LG,PACE_L6G,PACE_L5G,PACE_L4G,PACE_L3G,PACE_L2G,PACE_LG
21600001,NBA 2016-2017 Regular Season,2016-10-25,New York,R,18,27,19,24,,,,,,88,240,32,87,9,27,15,20,13,29,42,17,22,6,18,6,88,100.37342216981132,100.37342216981132,87.67261103354828,116.56472148778579,3+,Carmelo Anthony,Kristaps Porzingis,Joakim Noah,Courtney Lee,Derrick Rose,9.5,205.5,9.0,206.0,355,0.75,0.367816091954023,0.3333333333333333,0.4592901878914405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21600001,NBA 2016-2017 Regular Season,2016-10-25,Cleveland,H,28,20,34,35,,,,,,117,240,45,94,13,35,14,19,11,40,51,31,22,12,15,5,117,100.37342216981132,100.37342216981132,116.56472148778579,87.67261103354828,3+,LeBron James,Kevin Love,Tristan Thompson,JR Smith,Kyrie Irving,-9.5,205.5,-9.0,206.0,-450,0.7368421052631579,0.4787234042553192,0.37142857142857144,0.5715123094958968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21600002,NBA 2016-2017 Regular Season,2016-10-25,Utah,R,26,20,37,21,,,,,,104,240,40,82,8,24,16,16,6,25,31,19,19,9,14,5,104,92.53800000000001,92.53800000000001,112.38626294062978,122.1119972335689,3+,Joe Johnson,Boris Diaw,Rudy Gobert,Rodney Hood,George Hill,6.0,194.0,5.5,192.0,195,1.0,0.4878048780487805,0.3333333333333333,0.5840071877807727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21600002,NBA 2016-2017 Regular Season,2016-10-25,Portland,H,26,28,23,36,,,,,,113,240,39,75,13,19,22,22,5,29,34,22,18,5,13,3,113,92.53800000000001,92.53800000000001,122.1119972335689,112.38626294062978,3+,Maurice Harkless,Al-Farouq Aminu,Mason Plumlee,CJ McCollum,Damian Lillard,-6.0,194.0,-5.5,192.0,-235,1.0,0.52,0.6842105263157895,0.6672177609825224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21600003,NBA 2016-2017 Regular Season,2016-10-25,San Antonio,R,31,33,33,32,,,,,,129,240,47,98,12,24,23,26,21,34,55,25,19,13,14,3,129,98.7770982142857,98.7770982142857,130.59707394941805,101.23804182125431,3+,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Kyle Anderson,Tony Parker,8.0,210.5,8.0,212.0,325,0.8846153846153846,0.47959183673469385,0.5,0.5893640350877193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21600003,NBA 2016-2017 Regular Season,2016-10-25,Golden State,H,20,26,31,23,,,,,,100,240,40,85,7,33,13,18,8,27,35,24,19,11,16,6,100,98.7770982142857,98.7770982142857,101.23804182125431,130.59707394941805,3+,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,-8.0,210.5,-8.0,212.0,-400,0.7222222222222222,0.47058823529411764,0.21212121212121213,0.5380972879896685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21600004,NBA 2016-2017 Regular Season,2016-10-26,Miami,R,23,27,30,28,,,,,,108,240,47,97,4,16,10,16,16,36,52,27,22,5,12,7,108,95.34124040920716,95.34124040920716,113.27731791243863,100.69094925550101,3+,Luke Babbitt,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,4.0,202.0,3.0,200.0,135,0.625,0.4845360824742268,0.25,0.5190311418685121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21600004,NBA 2016-2017 Regular Season,2016-10-26,Orlando,H,27,26,16,27,,,,,,96,240,34,89,6,18,22,28,15,30,45,20,15,5,11,4,96,95.34124040920716,95.34124040920716,100.69094925550101,113.27731791243863,3+,Aaron Gordon,Serge Ibaka,Nikola Vucevic,Evan Fournier,Elfrid Payton,-4.0,202.0,-3.0,200.0,-155,0.7857142857142857,0.38202247191011235,0.3333333333333333,0.47374654559810503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21600005,NBA 2016-2017 Regular Season,2016-10-26,Dallas,R,21,31,33,30,6.0,,,,,121,265,45,104,18,48,13,18,10,39,49,26,27,8,15,8,121,114.36569345941686,103.57647709532093,105.80095860909316,113.67045139819926,3+,Harrison Barnes,Dirk Nowitzki,Andrew Bogut,Wesley Matthews,Deron Williams,5.0,207.5,5.5,204.5,185,0.7222222222222222,0.4326923076923077,0.375,0.5405646890636169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21600005,NBA 2016-2017 Regular Season,2016-10-26,Indiana,H,33,26,35,21,15.0,,,,,130,265,47,93,10,19,26,34,8,44,52,30,23,11,16,6,130,114.36569345941686,103.57647709532093,113.67045139819926,105.80095860909316,3+,Paul George,Thaddeus Young,Myles Turner,Monta Ellis,Jeff Teague,-5.0,207.5,-5.5,204.5,-215,0.7647058823529411,0.5053763440860215,0.5263157894736842,0.6020748425342719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
